SA4_CODE21,SA4_NAME,year,net_migration_nim,net_migration_nom,population,total_net_migration,rank
206.0,Melbourne - Inner,2024.0,-6483.0,30567.0,702853.0,24084.0,1.0
213.0,Melbourne - West,2024.0,4765.0,18595.0,955653.0,23360.0,2.0
212.0,Melbourne - South East,2024.0,-2605.0,22701.0,942073.0,20096.0,3.0
506.0,Perth - South East,2024.0,-992.0,15491.0,597028.0,14499.0,4.0
507.0,Perth - South West,2024.0,4995.0,9319.0,502632.0,14314.0,5.0
505.0,Perth - North West,2024.0,94.0,13566.0,640980.0,13660.0,6.0
309.0,Gold Coast,2024.0,1145.0,11932.0,698017.0,13077.0,7.0
209.0,Melbourne - North East,2024.0,2382.0,10234.0,585062.0,12616.0,8.0
311.0,Logan - Beaudesert,2024.0,7564.0,4252.0,408453.0,11816.0,9.0
127.0,Sydney - South West,2024.0,3175.0,7776.0,516623.0,10951.0,10.0
